"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","01 Apr 2022","1","130.99","0.00","5696.415","0.000"
"USEP","01 Apr 2022","2","125.91","0.00","5589.475","0.000"
"USEP","01 Apr 2022","3","127.87","0.00","5604.326","0.000"
"USEP","01 Apr 2022","4","127.87","0.00","5543.031","0.000"
"USEP","01 Apr 2022","5","127.84","0.00","5496.636","0.000"
"USEP","01 Apr 2022","6","125.77","0.00","5460.255","0.000"
"USEP","01 Apr 2022","7","125.77","0.00","5429.774","0.000"
"USEP","01 Apr 2022","8","125.69","0.00","5405.690","0.000"
"USEP","01 Apr 2022","9","125.69","0.00","5409.537","0.000"
"USEP","01 Apr 2022","10","125.70","0.00","5429.601","0.000"
"USEP","01 Apr 2022","11","125.67","0.00","5511.014","0.000"
"USEP","01 Apr 2022","12","125.69","0.00","5677.972","0.000"
"USEP","01 Apr 2022","13","125.85","0.00","5855.207","0.000"
"USEP","01 Apr 2022","14","125.85","0.00","6015.907","0.000"
"USEP","01 Apr 2022","15","129.41","0.00","6189.762","0.000"
"USEP","01 Apr 2022","16","171.88","0.00","6416.275","0.000"
"USEP","01 Apr 2022","17","290.35","0.00","6622.286","0.000"
"USEP","01 Apr 2022","18","460.18","0.00","6749.658","0.000"
"USEP","01 Apr 2022","19","441.34","0.00","6823.571","0.000"
"USEP","01 Apr 2022","20","460.38","0.00","6879.221","0.000"
"USEP","01 Apr 2022","21","460.40","0.00","6921.411","0.000"
"USEP","01 Apr 2022","22","460.49","0.00","6947.106","0.000"
"USEP","01 Apr 2022","23","460.48","0.00","6945.789","0.000"
"USEP","01 Apr 2022","24","410.03","0.00","6892.441","0.000"
"USEP","01 Apr 2022","25","208.17","0.00","6802.280","0.000"
"USEP","01 Apr 2022","26","205.40","0.00","6797.186","0.000"
"USEP","01 Apr 2022","27","243.42","0.00","6849.301","0.000"
"USEP","01 Apr 2022","28","234.68","0.00","6889.285","0.000"
"USEP","01 Apr 2022","29","250.73","0.00","6906.734","0.000"
"USEP","01 Apr 2022","30","250.75","0.00","6906.685","0.000"
"USEP","01 Apr 2022","31","300.93","0.00","6920.004","0.000"
"USEP","01 Apr 2022","32","323.25","0.00","6970.226","0.000"
"USEP","01 Apr 2022","33","380.61","0.00","6975.137","0.000"
"USEP","01 Apr 2022","34","231.73","0.00","6965.296","0.000"
"USEP","01 Apr 2022","35","189.77","0.00","6927.917","0.000"
"USEP","01 Apr 2022","36","188.83","0.00","6852.228","0.000"
"USEP","01 Apr 2022","37","300.91","0.00","6824.058","0.000"
"USEP","01 Apr 2022","38","401.24","0.00","6819.660","0.000"
"USEP","01 Apr 2022","39","385.81","0.00","6832.547","0.000"
"USEP","01 Apr 2022","40","210.26","0.00","6773.151","0.000"
"USEP","01 Apr 2022","41","179.48","0.00","6726.701","0.000"
"USEP","01 Apr 2022","42","176.76","0.00","6689.893","0.000"
"USEP","01 Apr 2022","43","176.56","0.00","6601.224","0.000"
"USEP","01 Apr 2022","44","209.24","0.00","6439.336","0.000"
"USEP","01 Apr 2022","45","188.79","0.00","6321.746","0.000"
"USEP","01 Apr 2022","46","399.06","0.00","6230.516","0.000"
"USEP","01 Apr 2022","47","176.33","0.00","6121.117","0.000"
"USEP","01 Apr 2022","48","147.93","0.00","5931.347","0.000"
"USEP","02 Apr 2022","1","143.83","0.00","5735.763","0.000"
"USEP","02 Apr 2022","2","142.82","0.00","5641.969","0.000"
"USEP","02 Apr 2022","3","142.98","0.00","5652.744","0.000"
"USEP","02 Apr 2022","4","142.84","0.00","5574.904","0.000"
"USEP","02 Apr 2022","5","142.38","0.00","5528.698","0.000"
"USEP","02 Apr 2022","6","142.20","0.00","5483.630","0.000"
"USEP","02 Apr 2022","7","140.40","0.00","5460.802","0.000"
"USEP","02 Apr 2022","8","140.32","0.00","5422.732","0.000"
"USEP","02 Apr 2022","9","140.30","0.00","5409.318","0.000"
"USEP","02 Apr 2022","10","146.33","0.00","5419.616","0.000"
"USEP","02 Apr 2022","11","147.15","0.00","5459.217","0.000"
"USEP","02 Apr 2022","12","146.78","0.00","5526.814","0.000"
"USEP","02 Apr 2022","13","171.45","0.00","5604.157","0.000"
"USEP","02 Apr 2022","14","171.95","0.00","5679.045","0.000"
"USEP","02 Apr 2022","15","176.14","0.00","5772.282","0.000"
"USEP","02 Apr 2022","16","225.48","0.00","5933.753","0.000"
"USEP","02 Apr 2022","17","434.77","0.00","6119.939","0.000"
"USEP","02 Apr 2022","18","510.48","0.00","6239.293","0.000"
"USEP","02 Apr 2022","19","575.67","0.00","6346.774","0.000"
"USEP","02 Apr 2022","20","409.98","0.00","6394.024","0.000"
"USEP","02 Apr 2022","21","253.61","0.00","6451.597","0.000"
"USEP","02 Apr 2022","22","270.27","0.00","6472.853","0.000"
"USEP","02 Apr 2022","23","345.88","0.00","6483.087","0.000"
"USEP","02 Apr 2022","24","229.43","0.00","6433.561","0.000"
"USEP","02 Apr 2022","25","225.05","0.00","6377.628","0.000"
"USEP","02 Apr 2022","26","186.02","0.00","6324.091","0.000"
"USEP","02 Apr 2022","27","179.52","0.00","6229.870","0.000"
"USEP","02 Apr 2022","28","156.44","0.00","6169.181","0.000"
"USEP","02 Apr 2022","29","156.33","0.00","6148.924","0.000"
"USEP","02 Apr 2022","30","174.32","0.00","6183.341","0.000"
"USEP","02 Apr 2022","31","174.31","0.00","6171.771","0.000"
"USEP","02 Apr 2022","32","179.43","0.00","6212.291","0.000"
"USEP","02 Apr 2022","33","179.59","0.00","6319.703","0.000"
"USEP","02 Apr 2022","34","409.34","0.00","6350.099","0.000"
"USEP","02 Apr 2022","35","218.56","0.00","6316.264","0.000"
"USEP","02 Apr 2022","36","296.04","0.00","6295.613","0.000"
"USEP","02 Apr 2022","37","409.31","0.00","6304.922","0.000"
"USEP","02 Apr 2022","38","1013.87","0.00","6362.823","0.000"
"USEP","02 Apr 2022","39","2125.20","0.00","6385.993","0.000"
"USEP","02 Apr 2022","40","1013.54","0.00","6378.821","0.000"
"USEP","02 Apr 2022","41","254.22","0.00","6372.932","0.000"
"USEP","02 Apr 2022","42","405.61","0.00","6360.641","0.000"
"USEP","02 Apr 2022","43","1337.85","0.00","6344.578","0.000"
"USEP","02 Apr 2022","44","239.11","0.00","6281.260","0.000"
"USEP","02 Apr 2022","45","179.60","0.00","6176.865","0.000"
"USEP","02 Apr 2022","46","176.24","0.00","6064.667","0.000"
"USEP","02 Apr 2022","47","175.77","0.00","5991.061","0.000"
"USEP","02 Apr 2022","48","251.81","0.00","6050.910","0.000"
"USEP","03 Apr 2022","1","2506.63","0.00","6125.147","0.000"
"USEP","03 Apr 2022","2","1913.60","0.00","6013.685","0.000"
"USEP","03 Apr 2022","3","407.96","0.00","5698.627","0.000"
"USEP","03 Apr 2022","4","338.70","0.00","5617.596","0.000"
"USEP","03 Apr 2022","5","222.59","0.00","5542.723","0.000"
"USEP","03 Apr 2022","6","176.46","0.00","5496.293","0.000"
"USEP","03 Apr 2022","7","175.43","0.00","5446.469","0.000"
"USEP","03 Apr 2022","8","125.87","0.00","5419.984","0.000"
"USEP","03 Apr 2022","9","125.83","0.00","5399.000","0.000"
"USEP","03 Apr 2022","10","175.76","0.00","5414.179","0.000"
"USEP","03 Apr 2022","11","176.00","0.00","5452.671","0.000"
"USEP","03 Apr 2022","12","222.55","0.00","5498.033","0.000"
"USEP","03 Apr 2022","13","175.80","0.00","5544.194","0.000"
"USEP","03 Apr 2022","14","140.37","0.00","5561.683","0.000"
"USEP","03 Apr 2022","15","140.35","0.00","5611.413","0.000"
"USEP","03 Apr 2022","16","125.88","0.00","5673.399","0.000"
"USEP","03 Apr 2022","17","155.89","0.00","5792.436","0.000"
"USEP","03 Apr 2022","18","155.29","0.00","5898.476","0.000"
"USEP","03 Apr 2022","19","174.98","0.00","5980.381","0.000"
"USEP","03 Apr 2022","20","160.75","0.00","6021.692","0.000"
"USEP","03 Apr 2022","21","156.07","0.00","6066.770","0.000"
"USEP","03 Apr 2022","22","155.93","0.00","6066.650","0.000"
"USEP","03 Apr 2022","23","152.62","0.00","6064.056","0.000"
"USEP","03 Apr 2022","24","147.31","0.00","6036.398","0.000"
"USEP","03 Apr 2022","25","144.07","0.00","6058.162","0.000"
"USEP","03 Apr 2022","26","147.35","0.00","6097.956","0.000"
"USEP","03 Apr 2022","27","144.94","0.00","6110.317","0.000"
"USEP","03 Apr 2022","28","156.08","0.00","6136.648","0.000"
"USEP","03 Apr 2022","29","149.77","0.00","6128.557","0.000"
"USEP","03 Apr 2022","30","151.42","0.00","6155.653","0.000"
"USEP","03 Apr 2022","31","151.44","0.00","6155.375","0.000"
"USEP","03 Apr 2022","32","149.77","0.00","6153.770","0.000"
"USEP","03 Apr 2022","33","147.43","0.00","6143.273","0.000"
"USEP","03 Apr 2022","34","149.78","0.00","6144.759","0.000"
"USEP","03 Apr 2022","35","147.46","0.00","6163.337","0.000"
"USEP","03 Apr 2022","36","147.44","0.00","6144.133","0.000"
"USEP","03 Apr 2022","37","151.38","0.00","6201.039","0.000"
"USEP","03 Apr 2022","38","188.45","0.00","6290.469","0.000"
"USEP","03 Apr 2022","39","406.21","0.00","6389.884","0.000"
"USEP","03 Apr 2022","40","800.52","0.00","6428.765","0.000"
"USEP","03 Apr 2022","41","1048.06","0.00","6450.647","0.000"
"USEP","03 Apr 2022","42","1219.94","0.00","6466.512","0.000"
"USEP","03 Apr 2022","43","1091.10","0.00","6431.538","0.000"
"USEP","03 Apr 2022","44","208.24","0.00","6333.937","0.000"
"USEP","03 Apr 2022","45","406.18","0.00","6208.718","0.000"
"USEP","03 Apr 2022","46","218.65","0.00","6089.204","0.000"
"USEP","03 Apr 2022","47","147.70","0.00","5976.271","0.000"
"USEP","03 Apr 2022","48","156.09","0.00","5781.482","0.000"
"USEP","04 Apr 2022","1","129.19","0.00","5581.797","0.000"
"USEP","04 Apr 2022","2","125.69","0.00","5462.512","0.000"
"USEP","04 Apr 2022","3","124.62","0.00","5445.972","0.000"
"USEP","04 Apr 2022","4","125.75","0.00","5387.445","0.000"
"USEP","04 Apr 2022","5","125.66","0.00","5323.665","0.000"
"USEP","04 Apr 2022","6","125.63","0.00","5283.169","0.000"
